Insult,Comment
0,"""like this if you are a tribe fan"""
1,"""you're idiot......................."""
1,"""I am a woman Babs, and the only ""war on women"" I see is coming from jackazzes like you.\xa0 I don't need your protection or your ignorant rhetoric masquerading as representing my best interests.\xa0 """
1,"""WOW & YOU BENEFITTED SO MANY WINS THIS YEAR FROM HIS BAT NICE STUPID"""
1,"""haha green me red you now loser whos winning now moron"""
0,"""\nMe and God both hate-faggots.\n\nWhat's the difference between a-fag-and a refrigerator?\nRefrigerators don't fart when you put the meat in."""
1,"""Oh go kiss the ass of a goat....and you DUMMYCRAPS insult veterans....even YOUR Coward-Incompetent-Chief.....everyone of YOU ARE the enemy....and you'll ALL fall.....and hard too BOY."""
0,"""Not a chance Kid, you're wrong."""
0,"""On Some real Shit FUck LIVE JASMIN!!!"""
1,"""ok but where the hell was it released?you all copy articles from each pther but did anyone do the fucking search to tell us where the fuck was it released?fuck it."""
1,"""\xa0@CrankyVince has found our slice of the Internets!\xa0 FUCK YOU."""
1,"""\xa0HAHAHAHAH, you are a delusional moron."""
0,"""There you are, been missing you.  How are you doing, feeling better?"""
1,"""wenttoau\n\nHe made a prediction just like you, but he doesn't know anything about football. That makes sense. Pffft! You like to dish it out about Bama, but let someone say something about auburn and you start crying, ""idiots"". """
1,"""KATHY LEE....SHUT YOUR PIE HOLE...AND WHATS WITH THAT FACE AND FISH LIPS....DUMB ARSE"""
1,"""You're a crank."""
0,"""Come on oppa you're a man. XD"""
0,"""I like your enthusiasm and initiative. You're a real go getter."""
1,"""Juggalo you suck at trolling """
0,"""you seem a very eloquent, grounded and educated person.\xa0"""
0,"""Its a wild wild world, keep your dirty fingers off of my human rights."""
0,"""Are you about to recapture your swag?"""
1,"""no shit.. you must be a\xa0genius\xa0"""
0,"""N\xe3o tenho a m\xednima paci\xeancia pra esse tipo de babaca que acha que se existe um problema grave acontecendo ningu\xe9m pode nem ligar a tv pra ver uma novela. Tem que viver em fun\xe7\xe3o de mensa\xe7\xe3o, corrup\xe7\xe3o, greve, blablabla. Saco."""
1,"""are you on 'roids by chance?"""
1,"""\xa0You are a disgusting human being"""
0,"""you are well versed when it may be on. \xa0Must be one of your favs if you know those details."""
0,"""we?  you and the mouse in your pocket?"""
0,"""glad you realize this :P\n\nkidding. """
0,"""Damn! You would rock this so hard!"""
0,"""In your face Cano haters """
0,"""WHAT FOUL ARE YOU KIDDING!!!!!!!!"""
1,"""You would know alot about rolls, fat boy"""
0,"""You look pretty damn good! ^_^"""
1,"""You are a moron. I am a computer guy that has my own company. My mouth will get me in trouble? I doubt it. Stupid M F er.\n\nAgain, what is the name of your other account? I know, you do not want say...\nDouche bag."""
0,"""It is the corrupt government blasting underground bunkers and tunnels in preparation for the coming nuclear/economic disaster.  They hope we will all die off so they can come out after the fallout is gone and rebuild the world as kings.  They will fail..."""
1,"""the phillies are terrible. go back to your cave"""
1,"""You are so naive.....useful idiot."""
0,"""Are you kidding me?"""
1,"""You are an opinionated, uneducated idiot. And Kingdom of Heaven Director's Cut is a masterpiece."""
1,"""Shut up muffin you soft a** b*tch"""
0,"""Okay, I'm going to blow your fucking minds. \xa0What if the three elderly members of the council aren't just ineffectual pushovers, but are actually being bloodbended by Tarrlok to give him the majority vote on every decision? \xa0It's a stretch, because you 'd think somebody would... notice, but they surely couldn't be THAT willing to turn Republic City into a police state at the first sign of trouble, could they?"""
0,"""It's also a synonym for shit. """
0,"""Well then you're welcome to contact your own lawyer."""
1,"""\xa0@Presidentjlh\xa0\xa0@JenBroflovski you can ask your mom about it"""
